GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.github.easy4j:spring-security-extension2,org.springframework.security.extension.userdetails,JwtPayloadRepository,0,47,0,2,0,15,0,9,0,8
io.github.easy4j:spring-security-extension2,org.springframework.security.extension.userdetails,SecurityPrincipal,5,421,6,28,1,106,5,57,0,45
io.github.easy4j:spring-security-extension2,org.springframework.security.extension.exception,AuthResponse,8,221,0,0,2,60,2,26,2,26
io.github.easy4j:spring-security-extension2,org.springframework.security.extension.exception,AuthConstants,3,0,0,0,1,0,1,0,1,0
io.github.easy4j:spring-security-extension2,org.springframework.security.extension.exception,ApiCodeValue,3,0,0,0,1,0,1,0,1,0
io.github.easy4j:spring-security-extension2,org.springframework.security.extension.exception,AuthResponseCode,0,251,0,0,0,34,0,5,0,5
io.github.easy4j:spring-security-extension2,org.springframework.security.extension.authentication.captcha,NullCaptchaResolver,0,6,0,0,0,3,0,3,0,3
io.github.easy4j:spring-security-extension2,org.springframework.security.extension.property,SecurityLogoutProperties,0,12,0,0,0,4,0,1,0,1
io.github.easy4j:spring-security-extension2,org.springframework.security.extension.property,SessionFixationPolicy,0,35,0,2,0,6,0,3,0,2
io.github.easy4j:spring-security-extension2,org.springframework.security.extension.property,SecurityRequestProperties,0,3,0,0,0,1,0,1,0,1
io.github.easy4j:spring-security-extension2,org.springframework.security.extension.property,SecurityRedirectProperties,0,3,0,0,0,1,0,1,0,1
io.github.easy4j:spring-security-extension2,org.springframework.security.extension.property,SecurityEntryPointProperties,0,9,0,0,0,3,0,1,0,1
io.github.easy4j:spring-security-extension2,org.springframework.security.extension.property.header,HeaderHstsProperties,0,6,0,0,0,2,0,1,0,1
io.github.easy4j:spring-security-extension2,org.springframework.security.extension.property.header,HeaderContentTypeOptionsProperties,0,6,0,0,0,2,0,1,0,1
io.github.easy4j:spring-security-extension2,org.springframework.security.extension.property.header,HeaderFrameOptionsProperties,0,12,0,0,0,4,0,1,0,1
io.github.easy4j:spring-security-extension2,org.springframework.security.extension.property.header,HeaderXssProtectionProperties,0,3,0,0,0,1,0,1,0,1
io.github.easy4j:spring-security-extension2,org.springframework.security.extension.property.header,HeaderCacheControlProperties,0,6,0,0,0,2,0,1,0,1
io.github.easy4j:spring-security-extension2,org.springframework.security.extension.property.header,HeaderHpkpProperties,0,18,0,0,0,5,0,1,0,1
io.github.easy4j:spring-security-extension2,org.springframework.security.extension.authentication,PostLoginRequest,0,33,0,0,0,14,0,7,0,7
